"CLINIC_ID","CLINIC_CREATED_AT","BUSINESS_SEGMENTATION","IS_CHAIN_CLINIC","FIRST_USER_HUBSPOT_SOURCE","INTEREST_REASONS","INTEREST_CATEGORY_SIGNUP","HAS_INTEREST_BNPL","HAS_INTEREST_BNPL_ONLY","HAS_INTEREST_SAAS","TRIAL_DURATION","TRIAL_START_DATE","TRIAL_END_DATE","TRIAL_START_HOUR","TRIAL_START_HOUR_CATEGORY","TRIAL_START_DAY_OF_WEEK","TRIAL_START_DAY_OF_WEEK_CATEGORY","HAS_USER_CREATED","MARKETING_ATTRIBUITION","MARKETING_ATTRIBUITION_CHANNEL_GROUP","MARKETING_ATTRIBUITION_CAMPAIGN","MARKETING_ATTRIBUITION_CAMPAIGN_PRODUCT","MARKETING_ATTRIBUITION_AD_GROUP","IS_PAID_MEDIUM","HAS_ASKED_FOR_ACCREDITATION","HAS_STARTED_ACCREDITATION_AND_NOT_FINISHED","IS_ACCREDITATION_APPROVED","IS_ACCREDITATION_REPROVED","CLINIC_ACCREDITATION_STATUS","REQUEST_FINISHED_AT","ACCREDITATION_REQUESTED_AT","ACCREDITATION_APPROVED_AT","ACCREDITATION_REJECTED_AT"
"8993","2023-08-01 06:25:16.121","Independente",false,"Inbound","[""bnpl"", ""finance_management"", ""patients_management"", ""calendar""]","BNPL e SaaS",true,false,true,"7","2023-08-01","2023-08-08","6","After Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_fce_bnpl","BNPL","interesses-validados",true,false,false,false,false,,,,,
"8994","2023-08-01 06:58:36.251","Independente",false,"Inbound","[""finance_management"", ""patients_management"", ""calendar"", ""bnpl""]","BNPL e SaaS",true,false,true,"7","2023-08-01","2023-08-08","6","After Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_agenda","SaaS","interesses-validados",true,false,false,false,false,,,,,
"8995","2023-08-01 06:59:23.156","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-01","2023-08-08","6","After Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_fce_bnpl","BNPL","interesses-validados",true,false,false,false,false,,,,,
"8996","2023-08-01 08:03:38.557","Independente",false,"Inbound","[""calendar"", ""bnpl"", ""patients_management"", ""finance_management""]","BNPL e SaaS",true,false,true,"7","2023-08-01","2023-08-08","8","After Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_agenda","SaaS","interesses-validados",true,false,false,false,false,,,,,
"8997","2023-08-01 08:34:33.894","Independente",false,"Inbound","[""patients_management""]","Apenas SaaS",false,false,true,"7","2023-08-01","2023-08-08","8","After Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"8998","2023-08-01 09:17:45.463","Independente",false,"Inbound","[""calendar"", ""patients_management""]","Apenas SaaS",false,false,true,"7","2023-08-01","2023-08-08","9","Business Hours","2","Weekday",true,"Paid - google","Paid - google","google_search_saas_signup","SaaS",,true,false,false,false,false,,,,,
"8999","2023-08-01 09:30:26.877","Independente",false,"Inbound","[""calendar""]","Apenas SaaS",false,false,true,"7","2023-08-01","2023-08-08","9","Business Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"9000","2023-08-01 09:58:01.877","Independente",false,"Inbound","[""bnpl"", ""finance_management"", ""calendar"", ""patients_management""]","BNPL e SaaS",true,false,true,"7","2023-08-01","2023-08-01","9","Business Hours","2","Weekday",true,"Other","Other",,"None",,false,false,true,false,false,"Incompleta",,,,
"9001","2023-08-01 10:05:45.474","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-01","2023-08-08","10","Business Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,true,false,false,"Incompleta",,,,
"9002","2023-08-01 10:14:27.755","Independente",false,"Inbound","[""calendar""]","Apenas SaaS",false,false,true,"7","2023-08-01","2023-08-08","10","Business Hours","2","Weekday",true,"Paid - google","Paid - google","google_search_saas_signup","SaaS",,true,false,false,false,false,,,,,
"9003","2023-08-01 10:18:53.881","Independente",false,"Inbound","[""finance_management""]","Apenas SaaS",false,false,true,"7","2023-08-01","2023-08-08","10","Business Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"9004","2023-08-01 10:47:03.003","Independente",false,"Inbound","[""bnpl"", ""patients_management"", ""finance_management""]","BNPL e SaaS",true,false,true,"7","2023-08-01","2023-08-08","10","Business Hours","2","Weekday",true,"Paid - google","Paid - google","google_search_branding_signup","Branding",,true,true,false,true,false,"Concluído","2023-08-02 12:49:55.075","2023-08-02 12:49:55.076","2023-08-02 18:08:19.199",
"9005","2023-08-01 11:38:42.324","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-01","2023-08-08","11","Business Hours","2","Weekday",true,"Paid - google","Paid - google","google_search_saas_signup","SaaS",,true,false,true,false,false,"Incompleta",,,,
"9006","2023-08-01 11:45:21.647","Independente",false,"Inbound","[""finance_management"", ""bnpl"", ""calendar"", ""patients_management""]","BNPL e SaaS",true,false,true,"7","2023-08-01","2023-08-08","11","Business Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_agenda","SaaS","lal-all-1",true,false,false,false,false,,,,,
"9007","2023-08-01 12:11:45.371","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-01","2023-08-08","12","Business Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_fce_bnpl","BNPL","interesses-validados",true,false,false,false,false,,,,,
