"CLINIC_ID","STRIPE_SUBSCRIPTION_ID","SUBSCRIPTION_START_DATE","SUBSCRIPTION_END_DATE","SUBSCRIPTION_CURRENT_PERIOD_STARTED_AT","SUBSCRIPTION_CURRENT_PERIOD_ENDS_AT","MOST_RECENT_INVOICE_CREATED_AT","LAST_PAYMENT_AT","CHECKOUT_STATUS","SUBSCRIPTION_STATUS","BILLING_INTERVAL_IN_MONTHS","FIRST_PAYMENT_METHOD_TYPE","FIRST_CARD_BRAND","FIRST_PAYMENT_AMOUNT","FIRST_PAYMENT_AMOUNT_OFF","FIRST_PAYMENT_PROMOTION_CODE","FIRST_PAYMENT_COUPON_ID","FIRST_PAYMENT_AMOUNT_OFF_2"
9000,"sub_1NaOxzCpjOdJI4gTfqZ2epGB","2023-08-01","2023-10-01","2023-09-01 17:14:51.000","2023-10-01 17:14:51.000","2023-09-01 17:16:49.000","2023-09-01 18:17:14.000","complete","canceled","1","Cartão de Crédito","mastercard",89.9,,,,
9032,"sub_1Namy7CpjOdJI4gTzrxPLlFg","2023-08-02",,"2023-10-02 18:52:35.000","2023-11-02 18:52:35.000","2023-10-02 18:53:31.000","2023-08-09 10:20:45.000","complete","past_due","1","Cartão de Crédito","visa",89.9,,,,
9105,"sub_1NalRdCpjOdJI4gTFRPqMhcv","2023-08-02",,"2023-10-02 17:14:57.000","2023-11-02 17:14:57.000","2023-10-02 17:16:56.000","2023-10-02 18:22:04.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9027,"sub_1Nb3CECpjOdJI4gTFLOepcZD","2023-08-03","2023-09-03","2023-08-03 12:12:14.000","2023-09-03 12:12:14.000","2023-08-03 12:12:14.000","2023-08-03 12:12:16.000","complete","canceled","1","Cartão de Crédito","visa",89.9,,,,
9072,"sub_1Nb7E2CpjOdJI4gTsIJIy9b1","2023-08-03","2023-09-03","2023-08-03 16:30:22.000","2023-09-03 16:30:22.000","2023-08-03 16:30:22.000","2023-08-03 16:30:24.000","complete","canceled","1","Cartão de Crédito","visa",89.9,,,,
9031,"sub_1NbTDjCpjOdJI4gTxs3GC5kl","2023-08-04",,"2023-10-04 15:59:31.000","2023-11-04 15:59:31.000","2023-10-04 16:07:36.000","2023-10-04 17:13:22.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9195,"sub_1NbXPdCpjOdJI4gTzI7Aud54","2023-08-04","2023-09-10","2023-09-04 20:28:05.000","2023-10-04 20:28:05.000","2023-09-04 20:31:59.000","2023-08-04 20:28:07.000","complete","canceled","1","Cartão de Crédito","mastercard",89.9,,,,
9025,"sub_1NcJ0rCpjOdJI4gTXD7prTk5","2023-08-06",,"2023-08-06 23:17:41.000","2024-08-06 23:17:41.000","2023-08-06 23:17:41.000","2023-08-06 23:17:44.000","complete","active","12","Cartão de Crédito","mastercard",587.16,,"CAPIM30","oUu4Feil",
9175,"sub_1NcT3pCpjOdJI4gTvLlhApJX","2023-08-07",,"2023-08-07 10:01:25.000","2024-08-07 10:01:25.000","2023-08-07 10:01:25.000","2023-08-07 10:01:27.000","complete","active","12","Cartão de Crédito","mastercard",587.16,,"CAPIM30","oUu4Feil",
9318,"sub_1Ncps4CpjOdJI4gT2tdKW1ba","2023-08-08","2023-09-14","2023-09-08 10:22:48.000","2023-10-08 10:22:48.000","2023-09-08 10:23:57.000","2023-08-08 10:22:51.000","complete","canceled","1","Cartão de Crédito","mastercard",89.9,,,,
